#Station            Const      Latitude      Longitude   H(Ortho) h(Ellipse)              X              Y              Z       SD(e)     SD(n)    SD(up)       AHD   AHD err
100525              FFF   -32.805925411  115.649376442    45.9783    13.2227  -2322818.5877   4837393.7096  -3435894.9423      0.0011    0.0011    0.0017    45.981  -999.000
100532              FFF   -32.350342678  118.473282878   384.0890   358.2251  -2571427.8285   4741251.8584  -3393506.1803      0.0011    0.0012    0.0030   384.073  -999.000
100536              FFF   -33.365803289  115.622012750    69.4481    36.7052  -2305858.5242   4807956.7102  -3487933.2673      0.0014    0.0014    0.0033    69.441  -999.000
100537              FFF   -33.314423106  117.278170828   388.3989   361.5361  -2445411.7528   4742330.7364  -3483350.9050      0.0016    0.0016    0.0046   388.393  -999.000
100541              FFF   -33.690974014  116.781231325   344.2889   316.7792  -2393784.2529   4742747.1175  -3518153.7807      0.0013    0.0013    0.0036   344.286  -999.000
100552              FFF   -33.706814067  115.580683547   155.6722   122.9492  -2293398.3000   4790835.7938  -3519507.9933      0.0024    0.0027    0.0060   155.673  -999.000
100554              FFF   -33.513075597  116.408465453   290.8079   262.8077  -2367714.5796   4767961.1233  -3501688.6513      0.0056    0.0066    0.0257   290.804  -999.000
100569              FFF   -33.746110886  115.513135456   147.4331   114.6365  -2286703.2479   4791345.8681  -3523128.5692      0.0022    0.0025    0.0061   147.414  -999.000
100581              FFF   -32.923015386  118.047227094   434.7210   408.3352  -2520015.0602   4730049.2144  -3447016.9821      0.0053    0.0055    0.0217   434.701  -999.000
100582              FFF   -33.342200772  118.343935828   370.7155   343.5147  -2532385.3946   4694522.4689  -3485915.2903      0.0011    0.0011    0.0022   370.706  -999.000
100583              FFF   -33.574248478  115.025053064   192.9808   161.0461  -2250290.8395   4820260.3429  -3507287.6184      0.0013    0.0013    0.0046   192.969  -999.000
100584              FFF   -33.846454203  115.250608017   153.4778   121.1317  -2262086.8582   4796178.5134  -3532381.5710      0.0021    0.0023    0.0056   153.475  -999.000
100588              FFF   -34.665130706  117.351314075   310.1716   279.4181  -2412949.1756   4664748.1091  -3607532.5984      0.0035    0.0039    0.0099   310.170  -999.000
100591              FFF   -33.961928364  117.955786422   298.2941   270.6963  -2482638.7173   4677869.1400  -3543095.9896      0.0018    0.0020    0.0061   298.286  -999.000
100600              FFF   -33.704709511  114.980222242    38.3983     6.5264  -2243078.9933   4814636.7699  -3519249.1941      0.0013    0.0013    0.0034    38.403  -999.000
100603              FFF   -35.024943903  117.894564522   186.2536   154.0244  -2446350.3165   4621411.8425  -3640221.8001      0.0014    0.0015    0.0030   186.233  -999.000
100614              FFF   -35.047013864  117.138306781   155.4078   123.3995  -2384487.4873   4652024.9443  -3642209.0483      0.0015    0.0016    0.0046   155.407  -999.000
100629              FFF   -34.913629106  116.464448178    23.9469    -8.2530  -2333343.6878   4687244.6372  -3630008.9573      0.0023    0.0027    0.0063    23.971  -999.000
